No|Fakultas|Jurusan|Kode|ID|Matakuliah|Aksi
106|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091317B|532|TI091317 Simulasi Sistem Industri - B|setting
107|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091317C|533|TI091317 Simulasi Sistem Industri - C|setting
108|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091415|534|TI091415 Sistem Dinamik|setting
109|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091309B|535|TI091309 Sistem Manufaktur - B|setting
110|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091309A|536|TI091309 Sistem Manufaktur - A|setting
111|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091309Q|537|TI091309 Sistem Manufaktur - Q|setting
112|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091426|538|TI091426 Six Sigma|setting
113|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091303B|540|TI091303 Statistik Industri I - B|setting
114|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091303C|541|TI091303 Statistik Industri I - C|setting
115|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091303Q|542|TI091303 Statistik Industri I - Q|setting
116|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091406|543|TI091406 Strategi Korporasi|setting
117|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091425|544|TI091425 Supply Chain Management|setting
118|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091428|545|TI091428 Sustainable Manufacturing|setting
119|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091316A|546|TI091316 Teknik Pengendalian Kualitas - A|setting
120|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091316B|547|TI091316 Teknik Pengendalian Kualitas - B|setting
121|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091316C|548|TI091316 Teknik Pengendalian Kualitas - C|setting
122|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091307A|549|TI091307 Teknik Tata Cara & Pengukuran Kerja - A|setting
123|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091307B|550|TI091307 Teknik Tata Cara & Pengukuran Kerja - B|setting
124|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091307C|551|TI091307 Teknik Tata Cara & Pengukuran Kerja - C|setting
125|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091307Q|552|TI091307 Teknik Tata Cara & Pengukuran Kerja - Q|setting
126|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SISTEM KECERDASAN BUATAN|553|SISTEM KECERDASAN BUATAN|setting
127|Fakultas Ilmu Alam (FIA)|Fisika|SM(S1)|554|Spektro-Mikrografi (S1) (Suminar Pratapa, Ph.D)|setting
128|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091309C|555|TI091309 Sistem Manufaktur - C|setting
129|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MATEMATIKA REKAYASA II KELAS BU AULIA|556|TF 141241 MATEMATIKA REKAYASA II KELAS BU AULIA|setting
130|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FISIKA REKAYASA II KELAS BU AULIA|557|TF 141222 FISIKA REKAYASA II KELAS BU AULIA|setting
131|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FR|561|TF 141222 FSIKA REKAYASA II Kls C (DETAK YP)|setting
132|Fakultas Ilmu Alam (FIA)|Kimia|KMS1|563|Kimia Membran (S1)|setting
133|Fakultas Teknologi Industri (FTI)|Teknik Fisika|AKUSTIK|565|TF 141331 AKUSTIK|setting
134|Fakultas Teknologi Industri (FTI)|Teknik Fisika|BISING LINGKUNGAN LINTAS JALUR|569|TF 141424 BISING LINGKUNGAN LINTAS JALUR|setting
135|Fakultas Ilmu Alam (FIA)|Fisika|SF091228|578|Intelligent Instrument|setting
136|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KALII|582|KALKULUS II|setting
137|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|hibah12_2|586|Bahasa Inggris|setting
138|Fakultas Teknologi Industri (FTI)|Teknik Fisika|ARTIFICIAL INTELIGENT|588|ARTIFICIAL INTELIGENT|setting
139|Fakultas Teknologi Industri (FTI)|Teknik Industri|Anprod|633|Analisis Produktivitas|setting
140|Fakultas Teknologi Industri (FTI)|Teknik Mesin|MEKTEK|638|Mekanika Teknik|setting
141|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|35100RM1849492018_|738|RM184949 - Aplikasi Radargrammetri|setting
142|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|35100RM1849472018_|739|RM184947 - Sistem Informasi Geografi Terapan|setting
143|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Penginderaan Jauh Terapan|740|RG141443 - Penginderaan Jauh Terapan - B|setting
144|Fakultas Ilmu Alam (FIA)|Fisika|SF1373|749|Seminar Fisika 2014/2015|setting
